id:ID,:LABEL,name,description,category,pali,sanskrit,tradition,language,source,locator,url,notes,scope,source_type,document_type,evidence_type,evidence_text,confidence,source_file
citation_dhammapada_1,Citation,Dhammapada 1,,,,,,,Dhammapada,Verse 1,,"Pilot citation for the relation between mind, intention, and suffering.",,,,,,,data/seeds/dhammapada.json
citation_dhammapada_129,Citation,Dhammapada 129,,,,,,,Dhammapada,Verse 129,,Pilot citation for non-harming and empathy toward beings.,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_183,Citation,Dhammapada 183,,,,,,,Dhammapada,Verse 183,,"Pilot citation for ethical restraint, wholesome cultivation, and mental purification.",,,,,,,data/seeds/dhammapada.json
citation_dhammapada_2,Citation,Dhammapada 2,,,,,,,Dhammapada,Verse 2,,"Pilot citation for the relation between mind, intention, and well-being.",,,,,,,data/seeds/dhammapada.json
citation_dhammapada_21,Citation,Dhammapada 21,,,,,,,Dhammapada,Verse 21,,Pilot citation for heedfulness as a path quality.,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_277,Citation,Dhammapada 277,,,,,,,Dhammapada,Verse 277,,Pilot citation for impermanence.,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_279,Citation,Dhammapada 279,,,,,,,Dhammapada,Verse 279,,Pilot citation for not-self.,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_35,Citation,Dhammapada 35,,,,,,,Dhammapada,Verse 35,,Pilot citation for the training and restraint of mind.,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_5,Citation,Dhammapada 5,,,,,,,Dhammapada,Verse 5,,Pilot citation for non-hatred and reconciliation.,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_50,Citation,Dhammapada 50,,,,,,,Dhammapada,Verse 50,,Pilot citation for self-examination in ethical practice.,,,,,,,data/seeds/dhammapada.json
citation_giac_khang_notes_pratityasamutpada,Citation,"Giac Khang notes, Dependent arising excerpt",,,,,,,Giac Khang MVP Notes,pilot-note-001#dependent-arising,,Pilot citation for evidence about dependent arising.,,,,,,,data/seeds/giac_khang_pilot.json
citation_giac_khang_notes_middle_way,Citation,"Giac Khang notes, Middle Way excerpt",,,,,,,Giac Khang MVP Notes,pilot-note-001#middle-way,,Pilot citation for evidence about the middle way.,,,,,,,data/seeds/giac_khang_pilot.json
citation_giac_khang_notes_sunyata,Citation,"Giac Khang notes, Sunyata excerpt",,,,,,,Giac Khang MVP Notes,pilot-note-001#sunyata,,Pilot citation for evidence about emptiness.,,,,,,,data/seeds/giac_khang_pilot.json
citation_heart_sutra_dharmas,Citation,Heart Sutra Dharmas Passage,,,,,,,Heart Sutra,Dharmas and categories passage,,"Pilot citation for sense bases, elements, dependent arising categories, and the four truths.",,,,,,,data/seeds/heart_sutra.json
citation_heart_sutra_mantra,Citation,Heart Sutra Mantra Passage,,,,,,,Heart Sutra,Mantra passage,,Pilot citation for mantra and prajnaparamita as a practice expression.,,,,,,,data/seeds/heart_sutra.json
citation_heart_sutra_opening,Citation,Heart Sutra Opening,,,,,,,Heart Sutra,Opening scene,,"Pilot citation for Avalokitesvara, prajnaparamita, and the five aggregates.",,,,,,,data/seeds/heart_sutra.json
